x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,weight
col6a3,pdgfrb,col6a3---pdgfrb,basal,MIIC,P,NA,152.260566,1.10384705271933,152.260566,48.481014,199,103.779552,0.752373090533057,1,FALSE,+,0.867320569973237,0.5,0.00103356490062506,NA
akr1c2,akr1c4,akr1c2---akr1c4,basal,MIIC,P,NA,120.384301,0.872752934942635,120.384301,40.301141,199,80.08316,0.580580792918178,1,FALSE,+,0.828527485914421,0.5,0.5,NA
pdgfrb,tgfb3,pdgfrb---tgfb3,basal,MIIC,P,NA,93.71829,0.679431719716551,93.71829,34.336043,199,59.382247,0.430504890772581,1,FALSE,+,0.759376350268526,0.00104893460944384,0.5,NA
col12a1,col6a3,col12a1---col6a3,basal,MIIC,P,NA,88.744545,0.643373442097726,88.744545,37.528494,199,51.216051,0.371302225083499,1,FALSE,+,0.766312292713159,3.37123328532095e-4,0.5,NA
col12a1,mmp11,col12a1---mmp11,basal,MIIC,P,NA,85.988012,0.623389339137189,85.988012,36.915254,199,49.072758,0.355763942760524,1,FALSE,+,0.73160763150262,3.04605180355717e-4,0.5,NA
adgra2,pdgfrb,adgra2---pdgfrb,basal,MIIC,P,NA,69.617089000000007,0.50470466865038,69.617089000000007,30.784951,199,38.832138,0.281522275978472,1,FALSE,+,0.670586533373433,0.5,0.021488447518127,NA
heyl,pdgfrb,heyl---pdgfrb,basal,MIIC,P,NA,63.471156,0.46014835176226,63.471156,27.37596,199,36.095196,0.261680202357363,1,FALSE,+,0.647533322953544,0.5,0.00826951006695122,NA
ppp2cb,zfp36l1,ppp2cb---zfp36l1,basal,MIIC,P,NA,72.625113,0.526512011905028,72.625113,36.747211,199,35.877902,0.260104880868845,1,FALSE,+,0.696508564225939,0.5,0.336573114964088,NA
bmp4,tgfb3,bmp4---tgfb3,basal,MIIC,P,NA,54.263134,0.393392735300971,54.263134,19.523299,199,34.739835,0.251854209426135,1,FALSE,+,0.654086589800028,0.5,0.5,NA
mmp11,pdgfrb,mmp11---pdgfrb,basal,MIIC,P,NA,72.712489,0.527145463773836,72.712489,38.268747,199,34.443742,0.249707616950045,1,FALSE,+,0.572210078141545,0.5,0.00867647095612863,NA
