x,y,weight,subtype,method,edge_id
akr1c2,akr1c4,0.552427913069141,luma,ARACNE,akr1c2---akr1c4
pdgfra,igf1,0.3766524554671502,luma,ARACNE,igf1---pdgfra
pdgfra,spry2,0.36123553711089595,luma,ARACNE,pdgfra---spry2
ptprd,col12a1,0.34371327815176755,luma,ARACNE,col12a1---ptprd
col12a1,col6a3,0.3164495501156859,luma,ARACNE,col12a1---col6a3
col12a1,hsd17b6,0.31447740741659036,luma,ARACNE,col12a1---hsd17b6
hsd17b6,fn1,0.286631390304251,luma,ARACNE,fn1---hsd17b6
cdkn1b,kdm3a,0.28225314771106014,luma,ARACNE,cdkn1b---kdm3a
col12a1,fn1,0.2791446323378146,luma,ARACNE,col12a1---fn1
zfp36l1,igf1,0.2789287055589975,luma,ARACNE,igf1---zfp36l1
sf3b1,casp8,0.2735521608225939,luma,ARACNE,casp8---sf3b1
col12a1,mmp11,0.2675280147733865,luma,ARACNE,col12a1---mmp11
zfp36l1,kdm3a,0.26120067732017116,luma,ARACNE,kdm3a---zfp36l1
pdgfra,acvr1,0.253569083306159,luma,ARACNE,acvr1---pdgfra
zfp36l1,pdgfra,0.2511371612050697,luma,ARACNE,pdgfra---zfp36l1
map4,fbxw7,0.24927355860022526,luma,ARACNE,fbxw7---map4
acvr2a,pdgfra,0.24379685164962428,luma,ARACNE,acvr2a---pdgfra
pdgfra,col6a3,0.24303246484917462,luma,ARACNE,col6a3---pdgfra
mmp13,hsd17b6,0.242418047704267,luma,ARACNE,hsd17b6---mmp13
zfp36l1,eif4e,0.23628105267130106,luma,ARACNE,eif4e---zfp36l1
pms2,eif4e,0.2356403286279276,luma,ARACNE,eif4e---pms2
jak1,sf3b1,0.23417817838918875,luma,ARACNE,jak1---sf3b1
sf3b1,mapk14,0.2335977241584848,luma,ARACNE,mapk14---sf3b1
jak1,adam10,0.23097774615878297,luma,ARACNE,adam10---jak1
mlst8,mapk3,0.22307546625564267,luma,ARACNE,mapk3---mlst8
kdm3a,arid2,0.21590015509495064,luma,ARACNE,arid2---kdm3a
zfp36l1,cdkn1b,0.21322991943558822,luma,ARACNE,cdkn1b---zfp36l1
jak1,casp8,0.21067289588217708,luma,ARACNE,casp8---jak1
mmp13,col12a1,0.20916090723034753,luma,ARACNE,col12a1---mmp13
ptprd,mmp13,0.20827102659681884,luma,ARACNE,mmp13---ptprd
casp8,mapk14,0.2080919144651423,luma,ARACNE,casp8---mapk14
mmp13,fn1,0.20738525745781633,luma,ARACNE,fn1---mmp13
pdgfra,mmp3,0.2019815941025458,luma,ARACNE,mmp3---pdgfra
heyl,jag1,0.20186484942931582,luma,ARACNE,heyl---jag1
tnk2,map2k2,0.20161793022711905,luma,ARACNE,map2k2---tnk2
map2k2,eif4e,0.19474994334745244,luma,ARACNE,eif4e---map2k2
utrn,mmp19,0.19231118661462787,luma,ARACNE,mmp19---utrn
jak1,mapk14,0.1914565585959691,luma,ARACNE,jak1---mapk14
jak1,ncoa2,0.1888094260289943,luma,ARACNE,jak1---ncoa2
ncor2,map2k2,0.18430532304295166,luma,ARACNE,map2k2---ncor2
chd1,kdm3a,0.18386836399801787,luma,ARACNE,chd1---kdm3a
dab2,mecom,0.18315232900832257,luma,ARACNE,dab2---mecom
cdkn1b,eif4e,0.17595374860864155,luma,ARACNE,cdkn1b---eif4e
mecom,acvrl1,0.17439507818470013,luma,ARACNE,acvrl1---mecom
maml1,map2k2,0.17076609846795243,luma,ARACNE,maml1---map2k2
syne1,pdgfra,0.16982113756639183,luma,ARACNE,pdgfra---syne1
tsc2,tnk2,0.16934808418498104,luma,ARACNE,tnk2---tsc2
sik1,myc,0.1685597665737868,luma,ARACNE,myc---sik1
hsd17b6,fgf1,0.1682445516540323,luma,ARACNE,fgf1---hsd17b6
heyl,hey1,0.16807024231471868,luma,ARACNE,hey1---heyl
syne1,hsd17b6,0.16734157083576662,luma,ARACNE,hsd17b6---syne1
tnk2,smarcd1,0.16703779815573405,luma,ARACNE,smarcd1---tnk2
ubr5,chd1,0.16490848503819144,luma,ARACNE,chd1---ubr5
