x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,consensus
col6a3,pdgfrb,col6a3---pdgfrb,basal,MIIC,P,NA,152.260566,1.10384705271933,152.260566,48.481014,199,103.779552,0.752373090533057,1,FALSE,+,0.867320569973237,0.5,0.00103356490062506,3-method
akr1c2,akr1c4,akr1c2---akr1c4,basal,MIIC,P,NA,120.384301,0.872752934942635,120.384301,40.301141,199,80.08316,0.580580792918178,1,FALSE,+,0.828527485914421,0.5,0.5,3-method
adgra2,pdgfrb,adgra2---pdgfrb,basal,MIIC,P,NA,69.617089000000007,0.50470466865038,69.617089000000007,30.784951,199,38.832138,0.281522275978472,1,FALSE,+,0.670586533373433,0.5,0.021488447518127,3-method
heyl,pdgfrb,heyl---pdgfrb,basal,MIIC,P,NA,63.471156,0.46014835176226,63.471156,27.37596,199,36.095196,0.261680202357363,1,FALSE,+,0.647533322953544,0.5,0.00826951006695122,3-method
eif4e,pms2,eif4e---pms2,basal,MIIC,P,NA,57.724682,0.418488002302977,57.724682,26.621303,199,31.103379,0.225490907729598,1,FALSE,+,0.638194486214961,1.45318281950782e-4,0.371484440803086,3-method
mmp19,utrn,mmp19---utrn,basal,MIIC,P,NA,51.802421,0.375553245641921,51.802421,21.268342,199,30.534079,0.221363639956843,1,FALSE,+,0.549912307651083,0.145659170790181,0.5,3-method
adam10,jak1,adam10---jak1,basal,MIIC,P,NA,51.680728,0.37467100500066,51.680728,21.264131,199,30.416597,0.220511927902604,1,FALSE,+,0.593969457076062,0.00896840209729069,8.37027772205786e-5,3-method
map2k1,sf3b1,map2k1---sf3b1,basal,MIIC,P,NA,37.181095,0.269552670207645,37.181095,9.661201,199,27.519894,0.199511631153718,1,FALSE,+,0.43529738712033,0.0263187256459131,0.109004997122213,3-method
adam10,eif4e,adam10---eif4e,basal,MIIC,P,NA,41.778666,0.302883790216866,41.778666,14.455232,199,27.323434,0.198087350411341,1,FALSE,+,0.451199521242343,0.00896008593161491,0.5,3-method
epcam,kdm3a,epcam---kdm3a,basal,MIIC,P,NA,52.162987,0.378167249562088,52.162987,26.883291,199,25.279696,0.183270814343621,1,FALSE,+,0.570291499495434,0.5,0.5,3-method
