subtype,edge_id,n_methods,methods,gene1,gene2
basal,abcc1---ccna1,2,"GENIE3,MIIC",abcc1,ccna1
basal,abcc1---kdm5a,2,"GENIE3,MIIC",abcc1,kdm5a
basal,abcc1---nfkb2,2,"GENIE3,MIIC",abcc1,nfkb2
basal,abcc10---acvr2b,2,"GENIE3,MIIC",abcc10,acvr2b
basal,abcc10---adam10,2,"GENIE3,MIIC",abcc10,adam10
basal,abcc10---arid1a,2,"GENIE3,MIIC",abcc10,arid1a
basal,abcc10---arid5b,2,"GENIE3,MIIC",abcc10,arid5b
basal,abcc10---cdk2,2,"ARACNE,MIIC",abcc10,cdk2
basal,abcc10---ctnna1,3,"ARACNE,GENIE3,MIIC",abcc10,ctnna1
basal,abcc10---eif4e,3,"ARACNE,GENIE3,MIIC",abcc10,eif4e
basal,abcc10---kdm6a,2,"GENIE3,MIIC",abcc10,kdm6a
basal,abcc10---map2k2,3,"ARACNE,GENIE3,MIIC",abcc10,map2k2
basal,abcc10---nfkb2,2,"ARACNE,MIIC",abcc10,nfkb2
basal,abcc10---psen2,3,"ARACNE,GENIE3,MIIC",abcc10,psen2
basal,abcc10---sf3b1,2,"GENIE3,MIIC",abcc10,sf3b1
basal,acvr1---acvr2a,2,"GENIE3,MIIC",acvr1,acvr2a
basal,acvr1---mlst8,2,"GENIE3,MIIC",acvr1,mlst8
basal,acvr1---mmp11,2,"GENIE3,MIIC",acvr1,mmp11
basal,acvr1---nt5e,2,"GENIE3,MIIC",acvr1,nt5e
basal,acvr1---spry2,2,"ARACNE,GENIE3",spry2,acvr1
basal,acvr1b---arid1a,2,"GENIE3,MIIC",acvr1b,arid1a
basal,acvr1b---erbb2,2,"ARACNE,GENIE3",acvr1b,erbb2
basal,acvr1b---smarcd1,2,"GENIE3,MIIC",acvr1b,smarcd1
basal,acvr2a---kdm3a,2,"GENIE3,MIIC",acvr2a,kdm3a
basal,acvr2a---spry2,2,"GENIE3,MIIC",acvr2a,spry2
basal,acvr2b---adam10,2,"ARACNE,MIIC",acvr2b,adam10
basal,acvr2b---eif4e,3,"ARACNE,GENIE3,MIIC",acvr2b,eif4e
basal,acvr2b---itgav,2,"GENIE3,MIIC",acvr2b,itgav
basal,acvr2b---kdm6a,2,"GENIE3,MIIC",acvr2b,kdm6a
basal,acvr2b---map2k1,3,"ARACNE,GENIE3,MIIC",acvr2b,map2k1
basal,acvr2b---map4,2,"GENIE3,MIIC",acvr2b,map4
basal,acvr2b---mapk9,3,"ARACNE,GENIE3,MIIC",acvr2b,mapk9
basal,acvr2b---sf3b1,2,"ARACNE,GENIE3",sf3b1,acvr2b
basal,adam10---arid1a,2,"GENIE3,MIIC",adam10,arid1a
basal,adam10---ctnna1,2,"GENIE3,MIIC",adam10,ctnna1
basal,adam10---eif4e,3,"ARACNE,GENIE3,MIIC",adam10,eif4e
basal,adam10---itgav,3,"ARACNE,GENIE3,MIIC",adam10,itgav
basal,adam10---jak1,3,"ARACNE,GENIE3,MIIC",adam10,jak1
basal,adam10---map2k1,3,"ARACNE,GENIE3,MIIC",adam10,map2k1
basal,adam10---map2k2,3,"ARACNE,GENIE3,MIIC",adam10,map2k2
basal,adam10---mapk14,3,"ARACNE,GENIE3,MIIC",adam10,mapk14
basal,adam10---mapk6,3,"ARACNE,GENIE3,MIIC",adam10,mapk6
basal,adam10---mapk9,2,"GENIE3,MIIC",adam10,mapk9
basal,adam10---myc,2,"GENIE3,MIIC",adam10,myc
basal,adam10---ncoa2,3,"ARACNE,GENIE3,MIIC",adam10,ncoa2
basal,adam10---nf2,2,"GENIE3,MIIC",adam10,nf2
basal,adam10---nfkb2,2,"GENIE3,MIIC",adam10,nfkb2
basal,adam10---rad51,3,"ARACNE,GENIE3,MIIC",adam10,rad51
basal,adam10---rbl2,2,"GENIE3,MIIC",adam10,rbl2
basal,adam10---sf3b1,3,"ARACNE,GENIE3,MIIC",adam10,sf3b1
basal,adam10---stat3,2,"GENIE3,MIIC",adam10,stat3
basal,adam10---thsd7a,2,"GENIE3,MIIC",adam10,thsd7a
basal,adam17---arid1a,2,"ARACNE,GENIE3",adam17,arid1a
basal,adam17---asxl2,3,"ARACNE,GENIE3,MIIC",adam17,asxl2
basal,adam17---dab2,2,"ARACNE,MIIC",adam17,dab2
basal,adam17---eif4e,2,"ARACNE,MIIC",adam17,eif4e
basal,adam17---jak1,3,"ARACNE,GENIE3,MIIC",adam17,jak1
basal,adam17---map4,2,"ARACNE,GENIE3",adam17,map4
basal,adam17---mapk14,2,"GENIE3,MIIC",adam17,mapk14
basal,adam17---ncoa2,2,"ARACNE,MIIC",adam17,ncoa2
basal,adam17---stat3,3,"ARACNE,GENIE3,MIIC",adam17,stat3
basal,adam17---vegfa,2,"GENIE3,MIIC",adam17,vegfa
basal,adgra2---ccnb1,2,"GENIE3,MIIC",adgra2,ccnb1
basal,adgra2---ccne1,2,"ARACNE,MIIC",adgra2,ccne1
basal,adgra2---col6a3,2,"GENIE3,MIIC",adgra2,col6a3
basal,adgra2---dab2,2,"GENIE3,MIIC",adgra2,dab2
basal,adgra2---hey2,2,"ARACNE,MIIC",adgra2,hey2
basal,adgra2---heyl,2,"GENIE3,MIIC",adgra2,heyl
basal,adgra2---mecom,3,"ARACNE,GENIE3,MIIC",adgra2,mecom
basal,adgra2---mmp11,2,"GENIE3,MIIC",adgra2,mmp11
basal,adgra2---mmp12,2,"ARACNE,MIIC",adgra2,mmp12
basal,adgra2---ncor2,3,"ARACNE,GENIE3,MIIC",adgra2,ncor2
basal,adgra2---nras,2,"GENIE3,MIIC",adgra2,nras
