subtype,x,y,direction,is_directed,info
basal,col12a1,mmp11,mmp11 -> col12a1,TRUE,85.988012
basal,mmp11,pdgfrb,mmp11 -> pdgfrb,TRUE,72.712489
basal,cdkn1b,zfp36l1,cdkn1b -> zfp36l1,TRUE,64.359604
basal,col6a3,mmp11,undirected,NA,60.197205
basal,cdkn1b,ppp2cb,undirected,NA,55.263175
basal,adam10,jak1,undirected,FALSE,51.680728
basal,jak1,serpini1,serpini1 -> jak1,TRUE,51.415878
basal,eif4e,jak1,undirected,NA,46.607212
basal,ar,gata3,undirected,FALSE,43.402089
basal,itgav,jak1,undirected,FALSE,40.942828
basal,jak1,sf3b1,undirected,TRUE,38.757795
basal,cdk6,ttyh1,undirected,FALSE,38.034402
basal,jak1,kdm6a,undirected,FALSE,36.080747
basal,fn1,mmp11,undirected,NA,35.620031
basal,casp8,sf3b1,casp8 -> sf3b1,TRUE,34.951382
basal,jak1,rbl2,rbl2 -> jak1,TRUE,34.026762
basal,pdgfrb,runx1,undirected,FALSE,33.9175
basal,ccnb1,chd1,undirected,FALSE,32.948403
basal,fbxw7,jak1,undirected,NA,32.894263
basal,jak1,pms2,undirected,NA,32.125036
basal,mmp11,ptprd,undirected,NA,31.752502
basal,hsd17b6,jak1,undirected,NA,31.132996
basal,ar,cdk6,undirected,FALSE,30.89214
basal,jak1,map2k2,undirected,NA,30.709971
basal,cdkn1b,kdm3a,undirected,FALSE,30.106358
basal,bmp4,mmp11,undirected,NA,30.01214
basal,myc,sf3b1,undirected,FALSE,29.729533
basal,jak1,stat3,stat3 -> jak1 (weak),TRUE,29.6291
basal,myc,nrarp,nrarp -> myc,TRUE,29.577285
basal,jak1,ncoa2,undirected,NA,29.330253
basal,cdkn1b,chd1,undirected,NA,28.704687
basal,jak1,myc,undirected,FALSE,28.48067
basal,gata3,tgfb3,undirected,NA,28.281397
basal,cdk2,rbl1,undirected,FALSE,28.180238
basal,jak1,nf2,undirected,NA,27.737072
basal,runx1,tgfb3,undirected,NA,27.549898
basal,cdkn1b,erbb4,undirected,NA,27.343071
basal,bcl2l1,ncoa3,undirected,FALSE,26.58165
basal,cdk6,shank2,undirected,FALSE,26.40184
basal,mmp11,runx1,undirected,NA,26.247312
basal,akt1,cbfb,undirected,FALSE,25.895649
basal,jak1,mmp15,mmp15 -> jak1,TRUE,25.642978
basal,cdk6,mmp7,undirected,FALSE,25.394635
basal,acvr1,mmp11,undirected,FALSE,25.360329
basal,akt1,nras,undirected,FALSE,25.320794
basal,arid1a,jak1,undirected,FALSE,24.912073
basal,eif5a2,runx1,undirected,FALSE,24.894841
basal,cdk6,frmd3,undirected,NA,24.679876
basal,acvr2b,jak1,undirected,NA,24.658354
basal,e2f3,tgfb3,undirected,FALSE,24.17201
basal,cdkn1b,eif4e,undirected,NA,23.802241
basal,col12a1,mmp1,undirected,FALSE,23.72036
basal,ccnd1,notch3,undirected,FALSE,23.467074
basal,adam10,myc,undirected,NA,23.454793
basal,akt1,ar,undirected,FALSE,23.42833
basal,akt1,myc,undirected,FALSE,23.33838
basal,ccne1,e2f3,undirected,FALSE,23.056292
basal,eif5a2,pten,undirected,FALSE,23.017758
basal,casp8,jak1,undirected,NA,22.770184
basal,ccnd2,jak2,undirected,FALSE,22.76204
basal,jak1,map2k1,undirected,NA,22.747175
basal,jak1,rps6kb2,undirected,NA,22.708625
basal,cbfb,e2f4,undirected,FALSE,22.584875
basal,cdk6,gata3,undirected,NA,22.577794
basal,ar,erbb2,undirected,NA,22.492614
basal,mmp11,mmp3,undirected,NA,22.407655
basal,erbb2,tgfb3,undirected,FALSE,22.316979
basal,ncoa3,src,undirected,FALSE,22.03755
basal,casp8,eif5a2,undirected,FALSE,21.882263
basal,cdkn1b,epcam,undirected,NA,21.826582
basal,bcl2l1,smad4,undirected,FALSE,21.436653
basal,acvrl1,runx1,undirected,NA,21.349974
basal,gsk3b,myc,undirected,FALSE,21.242057
basal,casp8,pms2,undirected,FALSE,21.029498
basal,akt1,tsc2,undirected,FALSE,20.990953
basal,myc,pms2,undirected,NA,20.740599
basal,e2f3,pdgfrb,undirected,NA,20.700619
basal,serpini1,src,undirected,NA,20.633287
basal,akt1s1,src,undirected,FALSE,20.548678
basal,jak1,mapk9,undirected,NA,20.403441
basal,casp8,eif4e,undirected,NA,20.354743
basal,adgra2,ccnb1,undirected,NA,20.332763
