subtype,edge_id,n_methods,methods,gene1,gene2
basal,abcb11---arl11,1,MIIC,abcb11,arl11
basal,abcb11---cdk2,1,ARACNE,cdk2,abcb11
basal,abcb11---fas,1,ARACNE,fas,abcb11
basal,abcb11---fbxw7,1,MIIC,abcb11,fbxw7
basal,abcb11---itgav,1,GENIE3,itgav,abcb11
basal,abcb11---kmt2d,1,MIIC,abcb11,kmt2d
basal,abcb11---map2k1,1,ARACNE,map2k1,abcb11
basal,abcb11---map3k5,1,MIIC,abcb11,map3k5
basal,abcb11---mmp12,1,ARACNE,mmp12,abcb11
basal,abcb11---ncoa2,1,ARACNE,ncoa2,abcb11
basal,abcb11---ncstn,1,ARACNE,ncstn,abcb11
basal,abcb11---nrarp,1,ARACNE,nrarp,abcb11
basal,abcc1---ccna1,2,"GENIE3,MIIC",abcc1,ccna1
basal,abcc1---cyp11a1,1,GENIE3,abcc1,cyp11a1
basal,abcc1---dph1,1,ARACNE,abcc1,dph1
basal,abcc1---kdm5a,2,"GENIE3,MIIC",abcc1,kdm5a
basal,abcc1---l1cam,1,ARACNE,l1cam,abcc1
basal,abcc1---ncor2,1,MIIC,abcc1,ncor2
basal,abcc1---nfkb2,2,"GENIE3,MIIC",abcc1,nfkb2
basal,abcc1---notch1,1,ARACNE,notch1,abcc1
basal,abcc1---nrarp,1,ARACNE,nrarp,abcc1
basal,abcc1---palb2,1,GENIE3,abcc1,palb2
basal,abcc1---pde4dip,1,MIIC,abcc1,pde4dip
basal,abcc1---smad4,1,ARACNE,smad4,abcc1
basal,abcc1---smad7,1,GENIE3,smad7,abcc1
basal,abcc1---spry2,1,ARACNE,abcc1,spry2
basal,abcc1---src,1,ARACNE,abcc1,src
basal,abcc1---thada,1,ARACNE,thada,abcc1
basal,abcc10---acvr2b,2,"GENIE3,MIIC",abcc10,acvr2b
basal,abcc10---adam10,2,"GENIE3,MIIC",abcc10,adam10
basal,abcc10---adam17,1,GENIE3,adam17,abcc10
basal,abcc10---akr1c4,1,MIIC,abcc10,akr1c4
basal,abcc10---arid1a,2,"GENIE3,MIIC",abcc10,arid1a
basal,abcc10---arid5b,2,"GENIE3,MIIC",abcc10,arid5b
basal,abcc10---casp8,1,MIIC,abcc10,casp8
basal,abcc10---cdk2,2,"ARACNE,MIIC",abcc10,cdk2
basal,abcc10---clrn2,1,GENIE3,abcc10,clrn2
basal,abcc10---ctcf,1,MIIC,abcc10,ctcf
basal,abcc10---ctnna1,3,"ARACNE,GENIE3,MIIC",abcc10,ctnna1
basal,abcc10---eif4e,3,"ARACNE,GENIE3,MIIC",abcc10,eif4e
basal,abcc10---frmd3,1,ARACNE,frmd3,abcc10
basal,abcc10---gsk3b,1,ARACNE,abcc10,gsk3b
basal,abcc10---hsd17b14,1,MIIC,abcc10,hsd17b14
basal,abcc10---hsd17b6,1,MIIC,abcc10,hsd17b6
basal,abcc10---itgav,1,ARACNE,abcc10,itgav
basal,abcc10---jak1,1,MIIC,abcc10,jak1
basal,abcc10---kdm5a,1,ARACNE,kdm5a,abcc10
basal,abcc10---kdm6a,2,"GENIE3,MIIC",abcc10,kdm6a
basal,abcc10---map2k2,3,"ARACNE,GENIE3,MIIC",abcc10,map2k2
basal,abcc10---mapk14,1,MIIC,abcc10,mapk14
basal,abcc10---mapk9,1,MIIC,abcc10,mapk9
basal,abcc10---mmp16,1,ARACNE,abcc10,mmp16
basal,abcc10---mmp27,1,GENIE3,abcc10,mmp27
basal,abcc10---myc,1,MIIC,abcc10,myc
basal,abcc10---ncoa3,1,MIIC,abcc10,ncoa3
basal,abcc10---nf2,1,MIIC,abcc10,nf2
basal,abcc10---nfkb2,2,"ARACNE,MIIC",abcc10,nfkb2
basal,abcc10---nr1i2,1,GENIE3,abcc10,nr1i2
basal,abcc10---psen2,3,"ARACNE,GENIE3,MIIC",abcc10,psen2
basal,abcc10---rad51,1,MIIC,abcc10,rad51
basal,abcc10---rad51c,1,MIIC,abcc10,rad51c
basal,abcc10---rbl2,1,MIIC,abcc10,rbl2
basal,abcc10---rps6kb2,1,MIIC,abcc10,rps6kb2
basal,abcc10---sf3b1,2,"GENIE3,MIIC",abcc10,sf3b1
basal,abcc10---slc19a1,1,MIIC,abcc10,slc19a1
basal,abcc10---stat5a,1,MIIC,abcc10,stat5a
basal,abcc10---vegfa,1,ARACNE,vegfa,abcc10
basal,abcc10---vegfb,1,ARACNE,abcc10,vegfb
basal,ackr3---acvr1,1,MIIC,ackr3,acvr1
basal,ackr3---adgra2,1,MIIC,ackr3,adgra2
basal,ackr3---akr1c2,1,MIIC,ackr3,akr1c2
basal,ackr3---col12a1,1,MIIC,ackr3,col12a1
basal,ackr3---col6a3,1,MIIC,ackr3,col6a3
basal,ackr3---dll1,1,MIIC,ackr3,dll1
basal,ackr3---eif4e,1,MIIC,ackr3,eif4e
basal,ackr3---fn1,1,MIIC,ackr3,fn1
basal,ackr3---igf1,1,MIIC,ackr3,igf1
basal,ackr3---itgav,1,MIIC,ackr3,itgav
basal,ackr3---jak1,1,MIIC,ackr3,jak1
basal,ackr3---mapk9,1,MIIC,ackr3,mapk9
basal,ackr3---mmp11,1,MIIC,ackr3,mmp11
basal,ackr3---mmp13,1,MIIC,ackr3,mmp13
basal,ackr3---nt5e,1,MIIC,ackr3,nt5e
basal,ackr3---pdgfra,1,MIIC,ackr3,pdgfra
basal,ackr3---pdgfrb,1,MIIC,ackr3,pdgfrb
basal,ackr3---ptprm,1,MIIC,ackr3,ptprm
basal,ackr3---serpini1,1,MIIC,ackr3,serpini1
basal,ackr3---syne1,1,MIIC,ackr3,syne1
basal,ackr3---tgfb3,1,MIIC,ackr3,tgfb3
basal,ackr3---thada,1,MIIC,ackr3,thada
basal,acvr1---acvr2a,2,"GENIE3,MIIC",acvr1,acvr2a
