x,y,weight,subtype,method,edge_id
akr1c2,akr1c4,0.23763617358877318,luma,GENIE3,akr1c2---akr1c2
akr1c4,akr1c2,0.22234994583621923,luma,GENIE3,akr1c4---akr1c4
pdgfra,igf1,0.148759932725051,luma,GENIE3,pdgfra---pdgfra
stat5a,rassf1,0.115091238060284,luma,GENIE3,stat5a---stat5a
rassf1,stat5a,0.11029354680500796,luma,GENIE3,rassf1---rassf1
col6a3,col12a1,0.10953625029354104,luma,GENIE3,col6a3---col6a3
casp8,mapk14,0.1088886664624336,luma,GENIE3,casp8---casp8
igf1,pdgfra,0.10570943188720405,luma,GENIE3,igf1---igf1
kdm3a,arid2,0.10074198495389097,luma,GENIE3,kdm3a---kdm3a
mapk14,casp8,0.09961950824845431,luma,GENIE3,mapk14---mapk14
col12a1,col6a3,0.0976885542133889,luma,GENIE3,col12a1---col12a1
hsd17b6,fn1,0.09725791821021902,luma,GENIE3,hsd17b6---hsd17b6
spry2,pdgfra,0.09682508473141095,luma,GENIE3,spry2---spry2
kdm3a,cdkn1b,0.09678785822165573,luma,GENIE3,kdm3a---kdm3a
jak1,adam10,0.09664144138327264,luma,GENIE3,jak1---jak1
ncor1,map2k4,0.09631031384492628,luma,GENIE3,ncor1---ncor1
heyl,jag1,0.09621584977759381,luma,GENIE3,heyl---heyl
col12a1,mmp11,0.09584781464226909,luma,GENIE3,col12a1---col12a1
pdgfra,acvr2a,0.09570681818190703,luma,GENIE3,pdgfra---pdgfra
mlst8,mapk3,0.09506040206594278,luma,GENIE3,mlst8---mlst8
pdgfra,spry2,0.09467360647996974,luma,GENIE3,pdgfra---pdgfra
pdgfra,mmp3,0.09457551570804283,luma,GENIE3,pdgfra---pdgfra
mmp19,utrn,0.09415442117909929,luma,GENIE3,mmp19---mmp19
myc,sik1,0.09240475162592854,luma,GENIE3,myc---myc
cdkn1b,kdm3a,0.09216320161483972,luma,GENIE3,cdkn1b---cdkn1b
map2k4,ncor1,0.09184160301813704,luma,GENIE3,map2k4---map2k4
map4,fbxw7,0.09168509994011252,luma,GENIE3,map4---map4
jag1,heyl,0.09151395373140467,luma,GENIE3,jag1---jag1
spry2,igf1,0.09007570382052404,luma,GENIE3,spry2---spry2
hsd17b4,prr16,0.0898931860860408,luma,GENIE3,hsd17b4---hsd17b4
utrn,mmp19,0.08755574707910012,luma,GENIE3,utrn---utrn
ptprd,col12a1,0.08749505618434561,luma,GENIE3,ptprd---ptprd
acvrl1,mecom,0.08452365959161535,luma,GENIE3,acvrl1---acvrl1
igf1,zfp36l1,0.08365796669260639,luma,GENIE3,igf1---igf1
mapk14,sf3b1,0.08355708928763422,luma,GENIE3,mapk14---mapk14
sf3b1,mapk14,0.08293397867134143,luma,GENIE3,sf3b1---sf3b1
fn1,hsd17b6,0.08254774744645668,luma,GENIE3,fn1---fn1
casp8,sf3b1,0.08250144251708626,luma,GENIE3,casp8---casp8
tsc2,mlst8,0.08246496858173948,luma,GENIE3,tsc2---tsc2
