gene,MIIC_basal,MIIC_luma,MIIC_lumb,MIIC_her2,GENIE3_basal,GENIE3_luma,GENIE3_lumb,GENIE3_her2,ARACNE_basal,ARACNE_luma,ARACNE_lumb,ARACNE_her2,total_degree,max_degree,n_networks
eif4e,52,125,92,110,34,27,33,38,27,32,33,34,637,637,14
jak1,49,107,66,107,28,28,0,34,27,39,0,38,523,523,12
itgav,42,110,75,108,26,19,0,47,14,21,0,34,496,496,12
hsd17b6,34,98,84,112,0,18,15,39,0,33,26,33,492,492,12
map2k2,28,128,71,84,11,23,18,17,12,44,21,19,476,476,14
tnk2,12,122,62,97,9,12,30,19,10,27,33,15,448,448,14
pms2,37,106,63,100,16,9,15,15,13,23,18,24,439,439,14
map4,19,111,38,111,15,19,0,39,7,35,0,36,430,430,12
adam10,37,73,39,115,25,18,0,46,15,22,0,39,429,429,12
col6a3,44,100,68,74,14,18,22,0,20,28,22,0,410,410,12
sf3b1,40,87,41,95,25,16,0,27,25,23,0,21,400,400,12
acvr1,20,96,71,81,7,16,17,19,9,15,19,14,384,384,14
map2k1,29,82,43,116,21,0,0,42,20,0,0,30,383,383,10
pdgfra,28,129,99,53,0,16,0,0,0,37,0,0,362,362,8
tsc2,18,108,70,61,0,10,21,7,0,18,21,27,361,361,12
casp8,18,103,66,64,0,14,15,13,0,24,23,12,352,352,12
arid5b,13,98,40,89,7,12,8,23,13,21,12,16,352,352,14
cbfb,23,84,62,97,16,0,0,29,4,0,0,21,336,336,10
zfp36l1,19,92,76,57,0,17,18,9,0,15,22,11,336,336,12
mapk6,17,72,48,94,15,0,7,25,13,0,22,20,333,333,12
mapk14,28,70,40,84,11,13,10,16,10,24,9,17,332,332,14
mapk9,34,80,32,96,19,0,0,32,10,0,0,21,324,324,10
arid1a,29,64,27,77,15,11,15,19,14,21,14,16,322,322,14
stat3,26,72,24,88,14,14,6,29,10,17,3,17,320,320,14
fbxw7,11,92,36,97,8,11,0,19,8,19,0,18,319,319,12
epcam,20,77,71,45,12,0,30,14,15,0,25,8,317,317,12
akt1s1,13,88,16,93,9,12,0,22,8,22,0,29,312,312,12
acvr2b,21,81,31,87,11,9,0,18,13,18,0,21,310,310,12
col12a1,26,60,52,73,0,13,16,14,0,16,16,19,305,305,12
dab2,43,81,63,53,22,9,0,0,16,17,0,0,304,304,10
