gene,degree,method,subtype
col6a3,44,MIIC,basal
akr1c2,14,MIIC,basal
pdgfrb,43,MIIC,basal
col12a1,26,MIIC,basal
adgra2,34,MIIC,basal
heyl,25,MIIC,basal
ppp2cb,23,MIIC,basal
bmp4,33,MIIC,basal
mmp11,23,MIIC,basal
nr2f1,43,MIIC,basal
eif4e,52,MIIC,basal
cdkn1b,15,MIIC,basal
jak1,49,MIIC,basal
mmp19,17,MIIC,basal
adam10,37,MIIC,basal
ar,41,MIIC,basal
map2k1,29,MIIC,basal
epcam,20,MIIC,basal
rad51,35,MIIC,basal
dab2,43,MIIC,basal
mecom,28,MIIC,basal
mapk14,28,MIIC,basal
ackr3,22,MIIC,basal
itgav,42,MIIC,basal
acvrl1,25,MIIC,basal
casp8,18,MIIC,basal
dll1,25,MIIC,basal
arid1a,29,MIIC,basal
hey1,12,MIIC,basal
pik3r1,25,MIIC,basal
abcc10,29,MIIC,basal
cbfb,23,MIIC,basal
acvr2b,21,MIIC,basal
hsd3b1,8,MIIC,basal
csf1r,13,MIIC,basal
acvr2a,8,MIIC,basal
ncoa2,24,MIIC,basal
cdk6,16,MIIC,basal
nf2,27,MIIC,basal
frmd3,24,MIIC,basal
akt1,27,MIIC,basal
erbb4,17,MIIC,basal
ccne1,25,MIIC,basal
foxo3,16,MIIC,basal
mmp16,4,MIIC,basal
ccnd2,26,MIIC,basal
erbb2,8,MIIC,basal
acvr1b,9,MIIC,basal
ctbp2,7,MIIC,basal
ptprm,10,MIIC,basal
bcl2l1,13,MIIC,basal
kdm3a,19,MIIC,basal
ccnb1,19,MIIC,basal
gsk3b,12,MIIC,basal
rad51c,24,MIIC,basal
cxcr1,6,MIIC,basal
map3k1,15,MIIC,basal
ctnna1,26,MIIC,basal
akt1s1,13,MIIC,basal
cacna2d3,20,MIIC,basal
acvr1,20,MIIC,basal
fgf1,19,MIIC,basal
mapk6,17,MIIC,basal
adam17,23,MIIC,basal
jag1,15,MIIC,basal
pten,18,MIIC,basal
dll3,6,MIIC,basal
ccnd3,2,MIIC,basal
igf1,11,MIIC,basal
runx1,34,MIIC,basal
eif5a2,30,MIIC,basal
mmp13,23,MIIC,basal
kdm6a,17,MIIC,basal
cdk2,11,MIIC,basal
myc,45,MIIC,basal
pdgfra,28,MIIC,basal
map2k2,28,MIIC,basal
akap9,5,MIIC,basal
mmp7,19,MIIC,basal
rbl1,19,MIIC,basal
serpini1,26,MIIC,basal
fbxw7,11,MIIC,basal
ccnd1,7,MIIC,basal
hes2,6,MIIC,basal
myh9,8,MIIC,basal
pms2,37,MIIC,basal
foxp1,22,MIIC,basal
dll4,1,MIIC,basal
cdh1,3,MIIC,basal
notch3,14,MIIC,basal
hdac1,3,MIIC,basal
nfkb2,24,MIIC,basal
bmp5,6,MIIC,basal
nras,32,MIIC,basal
chd1,9,MIIC,basal
afdn,15,MIIC,basal
ncoa3,42,MIIC,basal
arid5b,13,MIIC,basal
asxl1,8,MIIC,basal
hsd17b6,34,MIIC,basal
gata3,13,MIIC,basal
map2k4,3,MIIC,basal
smad4,27,MIIC,basal
arid2,5,MIIC,basal
cyp19a1,5,MIIC,basal
e2f3,24,MIIC,basal
gdf11,9,MIIC,basal
kdr,1,MIIC,basal
asxl2,10,MIIC,basal
smad7,13,MIIC,basal
klrg1,10,MIIC,basal
kmt2d,12,MIIC,basal
map4,19,MIIC,basal
map3k5,8,MIIC,basal
cyp21a2,15,MIIC,basal
hsd17b7,3,MIIC,basal
palb2,15,MIIC,basal
stat5a,7,MIIC,basal
fancd2,13,MIIC,basal
prkg1,6,MIIC,basal
tbx3,11,MIIC,basal
mapk1,5,MIIC,basal
dlec1,2,MIIC,basal
mmp1,8,MIIC,basal
bmf,10,MIIC,basal
rps6kb2,18,MIIC,basal
cdkn1a,6,MIIC,basal
bmpr1a,6,MIIC,basal
hey2,16,MIIC,basal
ctcf,13,MIIC,basal
mtor,4,MIIC,basal
tnk2,12,MIIC,basal
map2,11,MIIC,basal
vegfa,8,MIIC,basal
rassf1,3,MIIC,basal
birc6,6,MIIC,basal
numbl,11,MIIC,basal
abcc1,5,MIIC,basal
pdgfa,12,MIIC,basal
mapk9,34,MIIC,basal
stat3,26,MIIC,basal
nrip1,5,MIIC,basal
mmp25,6,MIIC,basal
e2f6,1,MIIC,basal
notch2,7,MIIC,basal
ncor2,15,MIIC,basal
mmp3,15,MIIC,basal
fam20c,3,MIIC,basal
nr1i2,2,MIIC,basal
