subtype,method1,method2,edges_m1,edges_m2,intersection,union,jaccard
basal,MIIC,GENIE3,1694,739,449,1984,0.22631048387096775
basal,MIIC,ARACNE,1694,1000,229,2465,0.09290060851926978
basal,GENIE3,ARACNE,739,1000,199,1540,0.1292207792207792
luma,MIIC,GENIE3,6768,679,634,6813,0.09305739028328196
luma,MIIC,ARACNE,6768,1000,807,6961,0.11593161902025571
luma,GENIE3,ARACNE,679,1000,425,1254,0.33891547049441784
lumb,MIIC,GENIE3,3827,692,576,3943,0.14608166370783668
lumb,MIIC,ARACNE,3827,1000,617,4210,0.14655581947743468
lumb,GENIE3,ARACNE,692,1000,391,1301,0.3005380476556495
her2,MIIC,GENIE3,4054,793,629,4218,0.14912280701754385
her2,MIIC,ARACNE,4054,1000,566,4488,0.12611408199643495
her2,GENIE3,ARACNE,793,1000,285,1508,0.1889920424403183
