subtype,edge_id,source,target,direction,p_x2y,p_y2x,direction_strength,info
basal,jak1---rbl2,rbl2,jak1,rbl2 -> jak1,0.999858586353058,1.22336552081349e-4,0.9997362498009766,34.026762
basal,jag1---pdgfrb,jag1,pdgfrb,jag1 -> pdgfrb,0.00121360479543114,0.998085802269552,0.9968721974741209,25.530293
basal,adam10---mapk9,mapk9,adam10,mapk9 -> adam10,0.995052318187128,0.0089606086602044,0.9860917095269236,33.961503
basal,rad51---sf3b1,rad51,sf3b1,rad51 -> sf3b1,5.00306012776473e-4,0.979914044122917,0.9794137381101405,37.477125
basal,ackr3---col12a1,ackr3,col12a1,ackr3 -> col12a1,0.0550397991002822,0.754945787580469,0.6999059884801868,42.585003
basal,dab2---pdgfrb,dab2,pdgfrb,dab2 -> pdgfrb,0.00761107989981098,0.569819015361315,0.5622079354615039,43.273525
basal,col12a1---mmp11,mmp11,col12a1,mmp11 -> col12a1,0.5,3.04605180355717e-4,0.49969539481964426,85.988012
basal,col12a1---ptprd,ptprd,col12a1,ptprd -> col12a1,0.5,3.19197046746917e-4,0.49968080295325307,34.890878
basal,col12a1---col6a3,col6a3,col12a1,col6a3 -> col12a1,0.5,3.37123328532095e-4,0.4996628766714679,88.744545
basal,casp8---sf3b1,casp8,sf3b1,casp8 -> sf3b1,5.18849772511416e-4,0.5,0.49948115022748857,34.951382
basal,rad51c---sf3b1,rad51c,sf3b1,rad51c -> sf3b1,5.54821805137322e-4,0.5,0.49944517819486267,26.283826
basal,arid1a---sf3b1,arid1a,sf3b1,arid1a -> sf3b1,5.98143451064057e-4,0.5,0.49940185654893593,26.10377
basal,col6a3---pdgfrb,col6a3,pdgfrb,col6a3 -> pdgfrb,0.00103356490062506,0.5,0.49896643509937494,152.260566
basal,pdgfrb---tgfb3,tgfb3,pdgfrb,tgfb3 -> pdgfrb,0.5,0.00104893460944384,0.49895106539055617,93.71829
basal,jak1---serpini1,serpini1,jak1,serpini1 -> jak1,0.5,0.00127186850615884,0.49872813149384115,51.415878
