x	y	type	ai	info	info_bits	info_cond	cplx	n_xy_ai	info_shifted	info_shifted_bits	ort_inferred	is_causal	sign	partial_correlation	p_y2x	p_x2y
col6a3	pdgfrb	P	NA	152.260566	1.10384705271933	152.260566	48.481014	199	103.779552	0.752373090533057	1	FALSE	+	0.867320569973237	0.5	0.00103356490062506
akr1c2	akr1c4	P	NA	120.384301	0.872752934942635	120.384301	40.301141	199	80.08316	0.580580792918178	1	FALSE	+	0.828527485914421	0.5	0.5
pdgfrb	tgfb3	P	NA	93.71829	0.679431719716551	93.71829	34.336043	199	59.382247	0.430504890772581	1	FALSE	+	0.759376350268526	0.00104893460944384	0.5
col12a1	col6a3	P	NA	88.744545	0.643373442097726	88.744545	37.528494	199	51.216051	0.371302225083499	1	FALSE	+	0.766312292713159	0.000337123328532095	0.5
col12a1	mmp11	P	NA	85.988012	0.623389339137189	85.988012	36.915254	199	49.072758	0.355763942760524	1	FALSE	+	0.73160763150262	0.000304605180355717	0.5
adgra2	pdgfrb	P	NA	69.617089	0.50470466865038	69.617089	30.784951	199	38.832138	0.281522275978472	1	FALSE	+	0.670586533373433	0.5	0.021488447518127
heyl	pdgfrb	P	NA	63.471156	0.46014835176226	63.471156	27.37596	199	36.095196	0.261680202357363	1	FALSE	+	0.647533322953544	0.5	0.00826951006695122
ppp2cb	zfp36l1	P	NA	72.625113	0.526512011905028	72.625113	36.747211	199	35.877902	0.260104880868845	1	FALSE	+	0.696508564225939	0.5	0.336573114964088
bmp4	tgfb3	P	NA	54.263134	0.393392735300971	54.263134	19.523299	199	34.739835	0.251854209426135	1	FALSE	+	0.654086589800028	0.5	0.5
mmp11	pdgfrb	P	NA	72.712489	0.527145463773836	72.712489	38.268747	199	34.443742	0.249707616950045	1	FALSE	+	0.572210078141545	0.5	0.00867647095612863
col12a1	fn1	P	NA	55.499883	0.402358823990039	55.499883	21.746128	199	33.753755	0.244705401758196	-2	FALSE	+	0.637849303866949	0.999696133876535	0.5
nr2f1	tgfb3	P	NA	60.629575	0.439547674289977	60.629575	27.445706	199	33.183869	0.240573885647281	1	FALSE	+	0.640819462189661	0.5	0.5
eif4e	pms2	P	NA	57.724682	0.418488002302977	57.724682	26.621303	199	31.103379	0.225490907729598	1	FALSE	+	0.638194486214961	0.000145318281950782	0.371484440803086
cdkn1b	zfp36l1	P	NA	64.359604	0.466589354393857	64.359604	33.416452	199	30.943152	0.22432930623052	1	FALSE	+	0.61738482927562	0.5	0.0140697787835613
jak1	serpini1	P	NA	51.415878	0.37275091564599	51.415878	20.877686	199	30.538192	0.22139345807093	1	FALSE	+	0.537239283142052	0.00127186850615884	0.5
mmp19	utrn	P	NA	51.802421	0.375553245641921	51.802421	21.268342	199	30.534079	0.221363639956843	1	FALSE	+	0.549912307651083	0.145659170790181	0.5
adam10	jak1	P	NA	51.680728	0.37467100500066	51.680728	21.264131	199	30.416597	0.220511927902604	1	FALSE	+	0.593969457076062	0.00896840209729069	8.37027772205786e-05
ar	gata3	P	NA	43.402089	0.314653158615686	43.402089	15.01113	199	28.390959	0.20582661183609	1	FALSE	+	0.576430638038678	0.5	0.5
map2k1	sf3b1	P	NA	37.181095	0.269552670207645	37.181095	9.661201	199	27.519894	0.199511631153718	1	FALSE	+	0.43529738712033	0.0263187256459131	0.109004997122213
adam10	eif4e	P	NA	41.778666	0.302883790216866	41.778666	14.455232	199	27.323434	0.198087350411341	1	FALSE	+	0.451199521242343	0.00896008593161491	0.5
ar	ttyh1	P	NA	36.79664	0.266765477635058	36.79664	9.996426	199	26.800214	0.194294149912377	1	FALSE	-	-0.416093503918678	0.5	0.5
epcam	kdm3a	P	NA	52.162987	0.378167249562088	52.162987	26.883291	199	25.279696	0.183270814343621	1	FALSE	+	0.570291499495434	0.5	0.5
jak1	sf3b1	P	NA	38.757795	0.280983309760257	38.757795	14.895775	199	23.86202	0.172993054872328	1	FALSE	+	0.517363187735044	0.00010032633352808	0.221748228722682
col6a3	pdgfra	P	NA	51.253209	0.371571610321335	51.253209	27.467885	199	23.785324	0.172437030053956	1	FALSE	+	0.614424802850212	0.5	0.5
epcam	ppp2cb	P	NA	45.084839	0.326852631379786	45.084839	21.557893	199	23.526946	0.170563860911872	1	FALSE	+	0.60462989717139	0.5	0.5
rad51	sf3b1	P	NA	37.477125	0.271698805951135	37.477125	14.878813	199	22.598312	0.163831520878701	-2	TRUE	+	0.501328235103469	0.979914044122917	0.000500306012776473
dab2	pdgfrb	P	NA	43.273525	0.313721105122033	43.273525	21.214953	199	22.058572	0.159918554942172	-2	TRUE	+	0.522341899298459	0.569819015361315	0.00761107989981098
mecom	nr2f1	P	NA	37.119352	0.269105050509607	37.119352	15.081746	199	22.037606	0.159766557232487	1	FALSE	+	0.425024250075489	0.5	0.5
mapk14	sf3b1	P	NA	42.405966	0.307431541971387	42.405966	20.50146	199	21.904506	0.158801618991571	1	FALSE	+	0.622571612935561	0.5	0.5
ackr3	pdgfrb	P	NA	36.582724	0.265214645713616	36.582724	14.874028	199	21.708696	0.157382050569679	1	FALSE	+	0.539323866515393	0.5	0.00179554394194108
ackr3	col12a1	P	NA	42.585003	0.308729510775586	42.585003	21.618551	199	20.966452	0.152000986559982	-2	TRUE	+	0.544928393618272	0.754945787580469	0.0550397991002822
adam10	hsd17b6	P	NA	30.566716	0.221600249193273	30.566716	9.60746	199	20.959256	0.151948817547348	6	FALSE	+	0.346064676461709	0.991039921622818	0.886997273449827
itgav	jak1	P	NA	40.942828	0.296824195555627	40.942828	20.167868	199	20.77496	0.150612722445561	2	TRUE	+	0.464842517212073	0.331891991845416	0.999916307632999
ar	tgfb3	P	NA	35.593883	0.258045821558201	35.593883	14.9951	199	20.598783	0.149335487851497	1	FALSE	+	0.505806304248515	0.5	0.5
acvrl1	dab2	P	NA	47.52314	0.344529640228502	47.52314	26.955616	199	20.567524	0.149108868734496	2	FALSE	+	0.558430543088048	0.5	0.569819015361315
