x	y	type	ai	info	info_bits	info_cond	cplx	n_xy_ai	info_shifted	info_shifted_bits	ort_inferred	is_causal	sign	partial_correlation	p_y2x	p_x2y
akr1c2	akr1c4	P	NA	122.527459	0.803498897600117	122.527459	37.934826	220	84.592633	0.554733509658364	2	FALSE	+	0.820769067571602	0.5	0.673976343298751
col6a3	pdgfrb	P	NA	119.40692	0.783035324235569	119.40692	40.806394	220	78.600526	0.515439041233927	2	FALSE	+	0.808920957118119	0.5	0.999998144776572
adam10	map2k1	P	NA	103.515905	0.678826739984696	103.515905	27.079714	220	76.436191	0.50124597136428	1	FALSE	+	0.732478319424331	0.5	0.5
col12a1	ptprd	P	NA	94.655653	0.620723823523666	94.655653	27.858665	220	66.796988	0.438034924245089	1	FALSE	+	0.782433839655534	0.5	0.5
adam10	jak1	P	NA	103.772969	0.680512489793746	103.772969	37.905555	220	65.867414	0.431939052427183	2	FALSE	+	0.756638848661411	0.5	0.944723803889043
col12a1	col6a3	P	NA	104.957482	0.688280176298148	104.957482	40.457188	220	64.500294	0.42297388313491	1	FALSE	+	0.768446030510967	0.5	0.5
ppp2cb	zfp36l1	P	NA	108.086467	0.708799136036857	108.086467	47.016937	220	61.06953	0.40047594582009	1	FALSE	+	0.752910256992084	0.5	0.5
adam10	itgav	P	NA	87.220845	0.571968547925659	87.220845	27.160619	220	60.060226	0.393857228203956	1	FALSE	+	0.631769765768373	0.5	0.00274716558444973
map2k1	map4	P	NA	69.192102	0.453741374654924	69.192102	14.744059	220	54.448043	0.357054189191859	1	FALSE	-	-0.519476882357718	0.5	0.0406184306057405
eif4e	pms2	P	NA	73.445193	0.481631889628331	73.445193	21.870807	220	51.574386	0.338209595086787	1	FALSE	+	0.706840333061286	0.451432140790387	0.23027524985698
jak1	stat3	P	NA	72.58792	0.476010146420204	72.58792	21.32522	220	51.2627	0.336165650329903	1	FALSE	+	0.596517583947076	0.0552761961109569	0.5
adam10	mapk9	P	NA	70.861281	0.464687357680633	70.861281	21.322004	220	49.539277	0.324863951168749	1	FALSE	+	0.613691477573231	0.5	0.5
adam10	eif4e	P	NA	79.910467	0.524029247527369	79.910467	30.772902	220	49.137565	0.322229642485723	1	FALSE	+	0.672524039524897	0.5	0.451771659098229
cbfb	map2k1	P	NA	69.220359	0.453926675717517	69.220359	21.178259	220	48.0421	0.315045906472235	1	FALSE	+	0.597456144354774	0.5	0.5
fbxw7	map4	P	NA	68.506714	0.449246802524539	68.506714	21.229808	220	47.276906	0.310027990158062	1	FALSE	+	0.582021368973459	0.0301225580572341	0.0406184306469884
hsd17b6	itgav	P	NA	80.653517	0.528901950027971	80.653517	33.83395	220	46.819567	0.307028896033948	1	FALSE	+	0.624574452949196	0.5	0.00274716558528497
hsd17b6	ptprd	P	NA	70.675165	0.46346686390686	70.675165	24.420631	220	46.254534	0.3033235764565	1	FALSE	+	0.626466538508485	0.5	0.5
hsd17b6	map2k1	P	NA	67.808356	0.444667176963788	67.808356	21.568712	220	46.239644	0.30322593223305	1	FALSE	+	0.608127891447795	0.5	0.5
col12a1	mmp11	P	NA	72.992439	0.47866286258041	72.992439	27.629469	220	45.36297	0.297476962995431	1	FALSE	+	0.666408960075119	0.5	0.5
adam10	mapk6	P	NA	82.321816	0.539842162273517	82.321816	37.380702	220	44.941114	0.294710555908298	1	FALSE	+	0.629811284605805	0.5	0.5
adam10	sf3b1	P	NA	75.967296	0.498171096404291	75.967296	31.072509	220	44.894787	0.294406757121211	1	FALSE	+	0.676303237551087	0.5	0.5
map4	smad4	P	NA	54.688922	0.358633802549833	54.688922	14.938161	220	39.750761	0.260673753483011	1	FALSE	-	-0.511073582140267	0.0406191310129258	0.5
eif4e	map2k2	P	NA	60.869014	0.399161021098186	60.869014	21.570668	220	39.298346	0.257706949496994	1	FALSE	-	-0.622426045789327	0.451216097110812	0.5
col6a3	pdgfra	P	NA	66.517658	0.436203160582491	66.517658	27.497663	220	39.019995	0.255881605827328	1	FALSE	+	0.652972588272231	0.5	0.5
adam10	tbl1xr1	P	NA	53.343401	0.349810273122052	53.343401	14.551794	220	38.791607	0.254383904759153	1	FALSE	+	0.387828448747063	0.5	0.5
arid1a	itgav	P	NA	58.891619	0.38619384855101	58.891619	20.290836	220	38.600783	0.253132537311505	1	FALSE	+	0.316816599793377	0.5	0.00274741029431758
col12a1	smad7	P	NA	65.568314	0.429977642942047	65.568314	26.988425	220	38.579889	0.252995520628849	1	FALSE	+	0.647599201748653	0.5	0.5
adam10	mapk14	P	NA	62.977002	0.412984583979338	62.977002	24.698553	220	38.278449	0.251018766114641	2	FALSE	+	0.668088184040695	0.5	0.546138818581478
mmp13	ptprd	P	NA	73.027815	0.478894847942985	73.027815	34.783475	220	38.24434	0.250795089363961	1	FALSE	+	0.661728169662504	0.5	0.5
acvr2b	hsd17b6	P	NA	58.343848	0.382601728072634	58.343848	21.014132	220	37.329716	0.244797255231788	1	FALSE	-	-0.47134667096458	0.5	0.5
adam17	jak1	P	NA	61.76228	0.405018795772707	61.76228	24.432976	220	37.329304	0.244794553457439	1	FALSE	+	0.587173529987704	0.5	0.0552761961755119
adam10	rbl2	P	NA	58.786315	0.385503296011984	58.786315	21.516393	220	37.269922	0.244405143835084	1	FALSE	+	0.476408871938943	0.5	0.5
arid5b	map4	P	NA	45.4338	0.29794144522155	45.4338	9.722946	220	35.710854	0.234181236235045	2	TRUE	-	-0.39023615090042	0.000432288393947455	0.959381569394789
arid5b	mapk6	P	NA	50.238561	0.32944964916408	50.238561	14.832386	220	35.406175	0.232183241315213	1	FALSE	+	0.411794919331151	0.5	0.5
mmp11	pdgfrb	P	NA	55.766821	0.365702345922011	55.766821	21.788403	220	33.978418	0.222820432481147	1	FALSE	+	0.64157449691006	0.5	0.5
itgav	tnk2	P	NA	55.321381	0.362781281926495	55.321381	21.511582	220	33.809799	0.221714678867057	2	TRUE	-	-0.584275598662119	0.00274726096237684	0.902664649065641
foxp1	jak1	P	NA	48.478222	0.317905865775065	48.478222	14.809457	220	33.668765	0.220789819537981	-2	TRUE	-	-0.452703943920705	0.541209799627004	0.0552761961119637
col6a3	itgav	P	NA	60.973724	0.399847678360602	60.973724	27.481288	220	33.492436	0.219633506020414	2	FALSE	+	0.627178069471465	0.5	0.997252834415688
gata3	tbx3	P	NA	55.07603	0.361172342512963	55.07603	21.686779	220	33.389251	0.218956849257713	1	FALSE	+	0.64214942954284	0.5	0.5
ncoa2	sf3b1	P	NA	47.577893	0.312001774032026	47.577893	15.185308	220	32.392585	0.212421007913974	-2	TRUE	+	0.622434636246018	0.923889489348535	0.286787648906209
akt1s1	itgav	P	NA	42.069885	0.275881883910314	42.069885	9.816499	220	32.253386	0.21150818197308	1	FALSE	-	-0.398137186011736	0.5	0.00275871685932437
epcam	zfp36l1	P	NA	56.881194	0.373010075016559	56.881194	24.629237	220	32.251957	0.211498811013019	1	FALSE	+	0.647259031188611	0.00386010979815755	0.5
ctnna1	itgav	P	NA	41.233424	0.270396619653054	41.233424	9.586872	220	31.646552	0.207528743780158	1	FALSE	+	0.346100335450993	0.5	0.00274748598265974
acvr1	itgav	P	NA	53.247369	0.349180523621294	53.247369	21.77504	220	31.472329	0.206386240788754	1	FALSE	+	0.61870800346329	0.5	0.00274716558444712
adam10	rad51	P	NA	52.774751	0.34608123432659	52.774751	21.503612	220	31.271139	0.205066896173861	1	FALSE	+	0.571518570068127	0.5	0.5
itgav	kdm6a	P	NA	45.807454	0.300391757825224	45.807454	14.666212	220	31.141242	0.204215070002378	-2	FALSE	+	0.457583915498213	0.997252834415688	0.5
col12a1	fn1	P	NA	61.779858	0.405134067106474	61.779858	31.227273	220	30.552585	0.200354831208357	1	FALSE	+	0.652461248216631	0.5	0.5
pdgfra	zfp36l1	P	NA	51.905917	0.340383677494064	51.905917	21.537183	220	30.368734	0.1991491906358	1	FALSE	+	0.612386543091462	0.5	0.5
nfkb2	sf3b1	P	NA	51.436835	0.33730757624329	51.436835	21.547965	220	29.88887	0.196002384212613	-2	TRUE	-	-0.564923747399545	0.54182600191212	0.286787648118016
map2k1	utrn	P	NA	39.75792	0.260720700091182	39.75792	9.925852	220	29.832068	0.195629893468465	1	FALSE	+	0.315457009734826	0.5	0.5
jak1	ncor1	P	NA	44.766966	0.293568544744749	44.766966	15.043204	220	29.723762	0.194919654699836	1	FALSE	+	0.497596682125288	0.0552823255614828	0.5
heyl	pdgfrb	P	NA	60.274983	0.395265541198939	60.274983	30.627431	220	29.647552	0.194419892022262	2	TRUE	+	0.55879132706643	0.000739524000391801	0.999998144776572
fn1	mmp13	P	NA	51.145169	0.335394916735127	51.145169	21.608814	220	29.536355	0.193690694929254	1	FALSE	+	0.543505149527028	0.5	0.5
ctnna1	nfkb2	P	NA	43.822753	0.287376674687282	43.822753	14.576255	220	29.246498	0.19178989830895	1	FALSE	-	-0.362945156424244	0.5	0.5
akt1s1	ncor2	P	NA	43.879461	0.287748549007185	43.879461	14.674369	220	29.205092	0.191518369986845	1	FALSE	+	0.434906676268674	0.5	0.5
itgav	ptprm	P	NA	62.823781	0.411979805902701	62.823781	34.005243	220	28.818538	0.188983462992137	1	FALSE	+	0.53660023672606	0.00309786413952106	0.5
eif4e	ppp2cb	P	NA	53.116963	0.348325359578103	53.116963	24.638258	220	28.478705	0.186754938520181	1	FALSE	+	0.658328400378809	0.477705953087483	0.5
jak1	plagl1	P	NA	42.601644	0.279369002420532	42.601644	14.911034	220	27.69061	0.181586844209956	1	FALSE	+	0.49573263159081	0.055276196136734	0.5
adam10	fn1	P	NA	54.748755	0.359026169697022	54.748755	27.138187	220	27.610568	0.181061952407852	1	FALSE	+	0.506180022365252	0.5	0.5
cdh1	ctcf	P	NA	49.128459	0.32216992802644	49.128459	21.603678	220	27.524781	0.180499386592067	1	FALSE	+	0.516575159251825	0.5	0.5
