x	y	type	ai	info	info_bits	info_cond	cplx	n_xy_ai	info_shifted	info_shifted_bits	ort_inferred	is_causal	sign	partial_correlation	p_y2x	p_x2y
akr1c2	akr1c4	P	NA	426.46317	0.906121208366402	426.46317	93.87812	679	332.58505	0.706655084401779	2	TRUE	+	0.807971928964288	0.110977877070825	0.999998110884856
col6a3	pdgfrb	P	NA	324.935504	0.690401826553102	324.935504	68.413368	679	256.522136	0.545041551524955	1	FALSE	+	0.790933723553679	0.000264174682416047	0.5
igf1	pdgfra	P	NA	283.684977	0.602755389532547	283.684977	56.122987	679	227.56199	0.483508916742009	1	FALSE	+	0.729681614550337	0.5	0.0611293666908336
ccnd2	pdgfrb	P	NA	266.079398	0.56534820026115	266.079398	55.276775	679	210.802623	0.447899703694383	-2	FALSE	+	0.697936835326394	0.999999999999127	0.5
col12a1	ptprd	P	NA	286.928774	0.609647598436156	286.928774	79.917585	679	207.011189	0.439843911309025	1	FALSE	+	0.687242571037547	0.5	0.5
adgra2	pdgfrb	P	NA	255.518884	0.54290990692236	255.518884	55.178745	679	200.340139	0.425669698124161	1	FALSE	+	0.733533978620659	0.00209241941549296	0.5
col12a1	col6a3	P	NA	237.687151	0.505022200339803	237.687151	47.008999	679	190.678152	0.40514053651881	1	FALSE	+	0.710042531087367	0.5	0.00026417468241608
pdgfra	spry2	P	NA	220.741896	0.469018024559098	220.741896	47.254923	679	173.486973	0.368613837416697	6	FALSE	+	0.669717293946625	0.938870633309167	0.999999999999666
col12a1	hsd17b6	P	NA	232.752804	0.494538020741975	232.752804	63.929874	679	168.82293	0.358703982178711	1	FALSE	+	0.672791320746358	0.5	8.35260281158178e-05
kdm3a	ppp2cb	P	NA	220.747181	0.469029253783385	220.747181	54.526324	679	166.220857	0.353175266695454	1	FALSE	+	0.670667617325373	0.5	0.5
cdkn1b	ppp2cb	P	NA	226.184726	0.480582595765875	226.184726	65.192863	679	160.991863	0.342065040314544	1	FALSE	+	0.667155489225391	0.5	0.5
fn1	hsd17b6	P	NA	207.58138	0.441055416063163	207.58138	47.292182	679	160.289198	0.34057206342072	1	FALSE	+	0.665689245167817	0.5	8.3525992898866e-05
col6a3	tgfb3	P	NA	218.197299	0.46361143034266	218.197299	61.013684	679	157.183615	0.333973522635493	1	FALSE	+	0.692106907519502	0.000264174682416047	0.5
col6a3	pdgfra	P	NA	200.674514	0.426380156377913	200.674514	46.766394	679	153.90812	0.32701396388298	6	FALSE	+	0.641139887000538	0.999735825317584	0.938870633309167
casp8	sf3b1	P	NA	201.240682	0.427583113323289	201.240682	55.770772	679	145.46991	0.309085004058268	1	FALSE	+	0.642184582542952	0.5	3.83877021952271e-10
ppp2cb	zfp36l1	P	NA	201.999329	0.429195037129894	201.999329	56.902743	679	145.096586	0.308291789502384	1	FALSE	+	0.647515779019675	0.5	0.5
nt5e	pdgfra	P	NA	181.374393	0.385372514470318	181.374393	36.888551	679	144.485842	0.306994120371232	1	FALSE	+	0.632727244988113	0.5	0.0611293666908336
col12a1	mmp11	P	NA	182.25133	0.387235773175873	182.25133	43.239478	679	139.011852	0.295363342422961	2	FALSE	+	0.656907355801764	0.5	0.97869423421159
igf1	zfp36l1	P	NA	191.153246	0.40614998535203	191.153246	55.146985	679	136.006261	0.288977258136303	1	FALSE	+	0.61730917019293	0.5	0.5
mmp3	pdgfra	P	NA	182.945001	0.388709640203426	182.945001	47.334623	679	135.610378	0.288136111684356	1	FALSE	+	0.630802580340575	0.5	0.0611293666908336
mapk14	sf3b1	P	NA	170.66497	0.362617828972701	170.66497	39.255648	679	131.409322	0.279209981113374	1	FALSE	+	0.625177250662838	0.5	3.84496255488916e-10
adam10	jak1	P	NA	175.501572	0.372894326351425	175.501572	44.634113	679	130.867459	0.27805866585131	1	FALSE	+	0.496707509797106	0.5	8.90350454360371e-09
acvr1	pdgfra	P	NA	162.807272	0.345922303291695	162.807272	39.357174	679	123.450098	0.262298739590363	1	FALSE	+	0.602185396053363	0.5	0.0611293666908336
acvrl1	adgra2	P	NA	166.164573	0.353055678112713	166.164573	43.593253	679	122.57132	0.260431569247738	1	FALSE	+	0.627628650935091	0.5	0.00209241941858331
col12a1	mmp13	P	NA	160.90242	0.341874997645115	160.90242	38.844821	679	122.057599	0.259340048277045	1	FALSE	+	0.607342499600953	0.5	0.5
gsk3b	map4	P	NA	165.454797	0.351547592228557	165.454797	47.019615	679	118.435182	0.251643372221181	1	FALSE	+	0.60555362202764	0.5	0.5
jak1	sf3b1	P	NA	153.143023	0.325388335535853	153.143023	37.870939	679	115.272084	0.244922627304471	1	FALSE	+	0.499445234945861	9.68977980062314e-09	3.90960674025597e-05
acvr2a	pdgfra	P	NA	149.624123	0.317911605669308	149.624123	34.992104	679	114.632019	0.243562658819425	1	FALSE	+	0.60897205113027	0.5	0.0611293666908336
