x	y	type	ai	info	info_bits	info_cond	cplx	n_xy_ai	info_shifted	info_shifted_bits	ort_inferred	is_causal	sign	partial_correlation	p_y2x	p_x2y
col6a3	pdgfrb	P	NA	247.177503	0.773539604766631	247.177503	60.865598	461	186.311905	0.583061304559817	2	FALSE	+	0.806582116212275	0.5	0.99999999944014
akr1c2	akr1c4	P	NA	227.743386	0.71272072359536	227.743386	57.384725	461	170.358661	0.533135781772633	1	FALSE	+	0.783441192549363	0.5	0.5
col6a3	mmp11	P	NA	222.131894	0.695159613659594	222.131894	52.623326	461	169.508568	0.530475423951821	1	FALSE	+	0.777694913643401	0.5	0.5
col12a1	col6a3	P	NA	219.905927	0.688193471464187	219.905927	53.661953	461	166.243974	0.520258908606234	1	FALSE	+	0.784251751359403	0.5	0.5
col12a1	ptprd	P	NA	210.696479	0.659372593028342	210.696479	60.554044	461	150.142435	0.469869298050962	1	FALSE	+	0.745449912762055	0.5	0.5
col6a3	pdgfra	P	NA	185.322382	0.579964601902668	185.322382	44.961015	461	140.361367	0.439259540354221	1	FALSE	+	0.75411386196555	0.5	0.5
adgra2	pdgfrb	P	NA	174.496622	0.546085490696911	174.496622	37.864201	461	136.632421	0.427589839916167	1	FALSE	+	0.752987725250157	0.5	5.59860328788039e-10
nt5e	pdgfra	P	NA	170.853949	0.534685780777865	170.853949	37.732004	461	133.121945	0.41660383922992	1	FALSE	+	0.713958265475723	0.121331674423803	0.5
fn1	hsd17b6	P	NA	147.824655	0.462615827960134	147.824655	41.189328	461	106.635327	0.33371422439582	1	FALSE	+	0.686313180040878	0.231274315663916	0.5
eif4e	ppp2cb	P	NA	146.963995	0.459922400815033	146.963995	43.040004	461	103.923991	0.325229124609738	1	FALSE	+	0.637178154416432	0.5	0.5
kdm3a	ppp2cb	P	NA	159.522657	0.499224612067963	159.522657	59.229082	461	100.293575	0.313867772853634	1	FALSE	+	0.647294782477881	0.5	0.5
col12a1	fn1	P	NA	129.659152	0.405767062030951	129.659152	29.976764	461	99.682388	0.311955069048958	1	FALSE	+	0.670112621625835	0.5	0.5
hsd17b6	mmp13	P	NA	125.693481	0.393356532995165	125.693481	29.583846	461	96.109635	0.300774173093597	1	FALSE	+	0.626405381791579	0.5	0.5
mmp13	ptprd	P	NA	125.533186	0.392854891343149	125.533186	29.542438	461	95.990748	0.300402117377055	1	FALSE	+	0.642447019317285	0.5	0.5
fgf1	hsd17b6	P	NA	130.314166	0.407816922008202	130.314166	37.886187	461	92.427979	0.289252466253122	1	FALSE	+	0.601515296872539	0.5	0.5
eif4e	pms2	P	NA	128.929311	0.403483031680978	128.929311	36.689473	461	92.239838	0.288663680813452	1	FALSE	+	0.646505214142887	0.5	0.5
ppp2cb	zfp36l1	P	NA	136.030802	0.425707079074942	136.030802	44.814319	461	91.216483	0.28546110123955	1	FALSE	+	0.641881222511454	0.5	0.5
ccnd2	cdk6	P	NA	133.971397	0.419262191047433	133.971397	48.572511	461	85.398886	0.267254987699874	1	FALSE	+	0.548530328416121	8.35238561349431e-07	0.5
epcam	kdm3a	P	NA	125.169622	0.391717121321792	125.169622	40.629665	461	84.539957	0.26456697770253	1	FALSE	+	0.622216730159029	0.5	0.5
