subtype,target,n_regulators
basal,col12a1,8
basal,pdgfrb,8
basal,jak1,6
basal,adam10,5
basal,eif4e,5
basal,sf3b1,4
basal,frmd3,3
basal,myc,3
basal,mmp19,2
basal,runx1,2
basal,zfp36l1,2
basal,cbfb,1
basal,erbb4,1
basal,kdm6a,1
basal,map2k1,1
basal,map2k2,1
basal,map3k1,1
basal,mmp7,1
basal,pms2,1
basal,rps6kb2,1
her2,itgav,12
her2,jak1,9
her2,map4,9
her2,tnk2,5
her2,adgra2,4
her2,arid5b,4
her2,epcam,3
her2,fbxw7,3
her2,heyl,2
her2,ccnd2,1
her2,cdk6,1
her2,dab2,1
her2,foxo3,1
her2,gata3,1
her2,kdm3a,1
her2,map3k1,1
her2,ncoa2,1
her2,notch3,1
her2,pdgfrb,1
her2,pms2,1
luma,pdgfra,13
luma,eif4e,12
luma,jak1,12
luma,map2k2,10
luma,adgra2,9
luma,ccnd2,8
luma,hsd17b6,7
luma,col6a3,6
luma,eif5a2,6
luma,sf3b1,6
luma,tsc2,6
luma,ccnb1,5
luma,spen,5
luma,bcl2l1,4
luma,spry2,4
luma,akr1c4,3
luma,map2k1,3
luma,rab25,3
luma,ubr5,3
luma,cbfb,2
luma,dab2,2
luma,mmp11,2
luma,ncstn,2
luma,rps6kb2,2
luma,runx1,2
luma,srd5a1,2
luma,akr1c2,1
luma,ccnd1,1
luma,cdh1,1
luma,hsd17b4,1
luma,large1,1
luma,lifr,1
luma,mmp15,1
luma,ncor1,1
luma,ptk2,1
luma,ptprm,1
luma,smad7,1
lumb,pdgfrb,11
lumb,jak1,6
lumb,epcam,5
lumb,nt5e,5
lumb,ncoa3,4
lumb,asxl1,3
lumb,cbfb,3
lumb,map2k2,3
lumb,ncor2,3
lumb,tsc2,3
lumb,arid2,2
lumb,casp8,2
lumb,ccnb1,2
lumb,ccnd2,2
lumb,ccne1,2
lumb,map2k1,2
lumb,notch3,2
lumb,numbl,2
lumb,runx1,2
lumb,setd2,2
lumb,thsd7a,2
lumb,tnk2,2
lumb,asxl2,1
lumb,cdh1,1
lumb,ctcf,1
lumb,cyp19a1,1
lumb,erbb3,1
lumb,map3k1,1
lumb,mapk6,1
lumb,ptk2,1
lumb,rad51c,1
lumb,spen,1
lumb,utrn,1
